latitude,longitude,city,country,max_temp,humidity,cloudiness,wind_speed,url
-23.303601017794392,158.99846945616156,poum,nc,46.4,87,0,3.36,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=poum&units=imperial
48.12009170852468,-36.303474228590574,ribeira grande,pt,68.0,82,40,4.7,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=ribeira%20grande&units=imperial
56.75217017423486,32.15514023039475,andreapol,ru,42.85,92,48,3.62,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=andreapol&units=imperial
1.785815487562644,-135.70564958719143,atuona,pf,80.33,100,92,17.49,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=atuona&units=imperial
-20.655106283880016,-36.34204640315474,linhares,br,72.59,95,80,5.64,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=linhares&units=imperial
43.841071329757256,-155.88418533033584,kodiak,us,53.6,76,1,5.82,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=kodiak&units=imperial
-55.91718935360397,-167.30136699328585,avarua,ck,73.4,69,75,17.22,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=avarua&units=imperial
-83.99325453671283,-124.95629747457288,rikitea,pf,76.01,95,12,7.65,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=rikitea&units=imperial
22.952148037225427,99.66609163978757,simao,cn,82.0,43,0,2.73,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=simao&units=imperial
23.20950452224983,31.487019809241446,aswan,eg,69.8,43,0,5.82,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=aswan&units=imperial
-58.623370781772785,-51.94401888505152,ushuaia,ar,39.2,100,0,10.29,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=ushuaia&units=imperial
74.25489392883455,-87.89678366127652,qaanaaq,gl,11.3,100,56,6.87,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=qaanaaq&units=imperial
34.88874703455781,-46.32078764617302,torbay,ca,37.4,93,90,25.28,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=torbay&units=imperial
-72.61537310441682,54.34586865157283,east london,za,62.6,63,0,16.11,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=east%20london&units=imperial
-57.866785236785766,-38.403270483169365,mar del plata,ar,29.26,100,0,3.74,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=mar%20del%20plata&units=imperial
-38.341002862332076,-7.169775710867498,jamestown,sh,83.66,25,36,21.52,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=jamestown&units=imperial
46.23294324722352,-117.96087498013902,walla walla,us,48.2,66,1,3.36,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=walla%20walla&units=imperial
18.09423008162409,-178.2922503060342,kapaa,us,75.2,73,20,8.05,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=kapaa&units=imperial
28.122311293272617,11.73199439868219,awbari,ly,66.11,25,0,2.73,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=awbari&units=imperial
23.29849368218713,71.18096995948491,halvad,in,94.15,37,0,7.76,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=halvad&units=imperial
